#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2ECAE
#Date Time: 2022-09-23 14:03:17.197
#Sample rate: 4e+06Hz
#Samples: 4096

Time (s),UART
-0.000316,b11000000
-0.00031575,b11000000
-0.0003155,b11000000
-0.00031525,b11000000
-0.000315,b11000000
-0.00031475,b11000000
-0.0003145,b11000000
-0.00031425,b11000000
-0.000314,b11000000
-0.00031375,b11000000
-0.0003135,b11000000
-0.00031325,b11000000
-0.000313,b11000000
-0.00031275,b11000000
-0.0003125,b11000000
-0.00031225,b11000000
-0.000312,b11000000
-0.00031175,b11000000
-0.0003115,b11000000
-0.00031125,b11000000
-0.000311,b11000000
-0.00031075,b11000000
-0.0003105,b11000000
-0.00031025,b11000000
-0.00031,b11000000
-0.00030975,b11000000
-0.0003095,b11000000
-0.00030925,b11000000
-0.000309,b11000000
-0.00030875,b11000000
-0.0003085,b11000000
-0.00030825,b11000000
-0.000308,b11000000
